LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DEU,78000.0,81900.0,88200.0,96800.0,96900.0,96000.0,108600.0,112300.0,116000.0,123900.0,124400.0,121700.0,119800.0,125300.0,129400.0,132200.0,138500.0,142700.0,151400.0,160300.0,169900.0,202700.0,219100.0,211622.0,241400.0,237515.0,236352.0,245659.0,257447.0,278470.0,280699.0,288955.0,285207.0,290918.0,303744.0,310114.0,330008.0,343439.0,341550.0,307575.0,313097.0,323848.0,307106.0,305781.0,310142.0,314815.0,315769.0,313143.0,316766.0,311869.0,304610.0
DNK,7800.0,8200.0,8600.0,9200.0,9300.0,9500.0,11500.0,11800.0,11900.0,9000.0,7850.0,7121.0,6969.0,7249.0,7710.0,8342.0,8824.0,8808.0,9057.0,9214.0,9352.0,9027.0,9407.0,8780.0,9532.0,9326.0,9432.0,9712.0,10108.0,10426.0,11000.0,10887.0,11057.0,11012.0,10539.0,11058.0,11494.0,11800.0,10718.0,10002.0,10573.0,12025.0,12292.0,12222.0,12949.762,12324.434,12943.238,15515.0,14988.0,,
ESP,51700.0,58600.0,65100.0,70800.0,78100.0,76500.0,79200.0,84800.0,88800.0,92200.0,89500.0,104200.0,105700.0,107000.0,107600.0,110500.0,114000.0,124600.0,134900.0,145000.0,90530.0,88874.0,82405.0,92171.0,97846.0,101874.0,102167.0,109840.0,125268.0,134259.0,148714.0,161041.0,184545.0,192587.0,220815.0,233219.0,241758.0,258869.0,242978.0,211891.0,210064.0,206840.0,199205.0,192594.0,195763.0,209387.0,216993.0,231105.0,238991.0,249555.0,242265.0
EST,2345.0,2548.0,2779.0,2968.0,3337.0,3536.0,3718.0,3963.0,3959.0,4053.0,4218.0,4371.0,4419.0,4473.0,4565.0,4407.0,4487.0,4721.0,4781.0,4761.0,4510.0,3811.0,1457.0,1056.0,1415.0,1549.0,1897.0,2773.0,3791.0,3975.0,3932.0,4677.0,4387.0,6428.0,6837.0,5821.0,5607.0,6426.0,7022.0,5249.0,5611.0,5913.0,5793.0,5987.0,6292.0,6259.0,6717.0,6189.0,5783.0,4795.0,4281.0
FIN,12400.0,13000.0,13600.0,14200.0,14800.0,15500.0,16000.0,16600.0,17200.0,17800.0,18400.0,18200.0,19800.0,21600.0,20700.0,20100.0,20700.0,21900.0,23300.0,24900.0,25400.0,23800.0,22900.0,24100.0,24800.0,22338.0,25752.0,28954.0,30245.0,29424.0,31974.0,30478.0,31966.0,30925.0,32291.0,31855.0,29741.0,29818.0,31035.0,27657.0,30337.0,26917.0,25458.0,24429.0,23401.0,24486.0,26853.0,27977.0,28413.0,28847.0,29705.0
FRA,66300.0,72700.0,79100.0,87600.0,91300.0,82400.0,86900.0,88100.0,91500.0,96300.0,98100.0,88600.0,85900.0,82500.0,83400.0,84500.0,88100.0,95100.0,107200.0,112600.0,114800.0,117200.0,120000.0,115300.0,122100.0,157084.0,159200.0,161106.0,167764.0,182357.0,184240.0,189023.0,188596.0,189226.0,197412.0,193153.0,198829.0,207025.0,195515.0,166052.0,174409.0,177993.0,165808.0,165315.0,158800.0,150800.0,152800.0,164900.0,166300.0,168900.0,164900.0
GBR,85000.0,85900.0,87500.0,90400.0,89700.0,91700.0,92900.0,95300.0,96400.0,100900.0,91100.0,91600.0,92600.0,93800.0,97900.0,100600.0,102500.0,110000.0,126700.0,134300.0,132900.0,127200.0,123600.0,131400.0,140600.0,146714.0,150194.0,152503.0,155431.0,152922.0,153704.0,152140.0,154047.0,157030.0,163388.0,166815.0,167524.0,173080.0,161600.0,140854.0,153829.0,150090.5937028,152705.73912733,140874.01754717,136872.51792592,151804.68822509,157656.63959616,156064.22951868,161057.33446167,163697.74157884,144209.20879398
GEO,,,,,,,1808.0,1838.0,2002.0,2156.0,2355.0,2548.0,2692.0,2830.0,2918.0,3018.0,2770.0,2843.0,2808.0,2601.0,2577.0,1653.0,388.0,121.0,84.0,130.0,131.0,304.0,385.0,420.0,475.0,520.0,543.0,562.0,570.0,578.0,586.0,594.0,600.0,611.0,620.0,628.0,637.0,646.0,655.0,664.3,673.6,683.0,692.6,702.3,712.1
GRC,6960.0,7717.0,8474.0,9231.0,9988.0,10745.0,10428.0,10111.0,9794.0,9477.0,9159.0,8840.0,8522.0,8029.0,9540.0,10352.0,12539.0,13064.0,12354.0,13844.0,12486.0,11929.0,9756.0,13953.0,15115.0,12356.0,12844.0,12740.0,13206.0,13804.0,14291.0,14424.0,14700.0,14700.0,15473.0,15861.0,16510.0,17359.0,16960.0,16940.0,20146.0,20426.0,20416.0,19203.0,19223.0,19763.0,24560.0,28418.0,29279.0,28197.0,25387.0
HRV,1347.0,1437.0,1587.0,1657.0,1793.0,2000.0,2021.0,2288.0,2459.0,2692.0,2630.0,2715.0,2755.0,2687.0,2710.0,2723.0,2897.0,2935.0,3006.0,2965.0,2603.0,1837.0,1545.0,1364.0,1291.0,1251.0,2041.0,2039.0,2590.0,2424.0,2816.0,7615.0,8161.0,8956.0,9547.0,10243.0,11095.0,11429.0,11042.0,9429.0,8780.0,8927.0,8649.0,9133.0,9381.0,10440.0,11337.0,11833.0,12635.0,12477.0,12254.0
HUN,5820.0,6589.0,7075.0,7353.0,8152.0,8731.0,9441.0,10439.0,11463.0,11773.0,11404.0,11772.0,11940.0,12151.0,12405.0,12716.0,13457.0,14640.0,15529.0,15722.0,15159.0,13974.0,13620.0,13380.0,13010.0,13040.0,13102.0,12912.0,11744.0,12014.0,12146.0,18503.0,17143.0,18200.0,20598.0,25137.0,30495.0,35804.0,35744.0,35373.0,33720.0,34529.0,33735.0,35817.0,37517.0,38351.97,40006.27,39687.11,37947.65,36950.7,32223.3
IND,,,,,,,,,,,,,,,,,,,,,145000.0,180778.0,216778.0,252778.0,287778.0,323778.0,359778.0,394778.0,430778.0,467000.0,494000.0,515000.0,545000.0,595000.0,643000.0,728300.0,825900.0,933700.0,1021600.0,1144500.0,1287300.0,1407800.0,1508000.0,1653600.0,1824300.0,2026100.0,2226570.0,2435870.0,,,
IRL,,,,,,,,,,1398.0,5011.0,4818.0,4531.0,4670.0,4581.0,4521.0,5089.0,4959.0,5000.0,5479.0,5130.0,5138.0,5150.0,5095.0,5258.0,5493.0,6316.0,6998.0,8203.0,10275.0,12348.0,12405.0,14448.0,15898.0,17289.0,18152.0,17686.0,19146.0,17290.0,12068.0,10924.0,9941.0,9895.0,9138.0,9772.0,9844.0,11564.0,11758.0,11538.0,12403.0,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.0,660.0,679.0,699.0,741.0,786.0,825.0,805.0,813.0,806.0,777.0,786.0,808.0,850.0,907.0,1052.0,1150.0,1186.0,1172.0,
ISR,2886.0,,,,,,,3360.0,,,,,,,,,,,,,4370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
