LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GBR,11356.0,12800.0,14449.0,17599.0,17591.0,15623.0,17454.0,18270.0,19462.0,19512.0,19038.0,19302.0,1439704.5,1500485.5,1546184.0,1583847.0,1647231.5,1845857.0,2065608.5,2140002.5,2002755.5,2050712.5,2201190.5,2274825.0,2477343.0,2703793.0,2802497.0,3024663.0,3251755.0,3469200.0,3383306.5,3525907.0,3642589.0,3687706.5,4039751.0,3920974.5,4041746.5,4481859.0,4411867.0,3733633.0,4155448.0,4116979.5,4034129.0,4165047.0,4800712.0,4931200.5,5147764.5,5161857.0,5196279.5045,5272945.5,4904131.0
GEO,174.5,171.5,184.0,176.5,199.5,191.5,201.0,214.5,213.5,256.0,340.0,405.5,381.0,396.5,431.0,448.5,497.0,393.5,327.5,459.0,70.0,58.0,43.0,2271.5,3392.5,4810.5,10399.5,22233.0,25113.0,15037.0,18270.0,20744.5,27814.0,35236.0,40445.0,53497.5,65124.0,93212.0,127913.5,91579.5,114093.0,151096.0,180434.5,203399.0,225546.5,191720.0,166539.0,199286.9055,229063.485425,326657.600746562,245187.2473328176
GRC,,6830.0,8342.5,14008.5,17919.5,23418.0,36631.5,34571.0,44059.5,57108.5,60270.5,67025.0,70776.5,72199.0,71112.5,78704.0,97294.5,117848.5,144771.0,173981.0,179815.0,196859.0,227524.0,331795.0,325235.0,310778.5,410789.5,463431.0,383388.5,426278.0,549805.5,589264.5,830343.0,946153.0,947391.0,888358.5,906791.5,944633.5,522683.5,516846.5,599119.5,1037967.5,1627020.5,1829375.5,1984429.0,1890613.0,2085337.0,2278130.5,2674399.0,3074101.0,2831488.375
HRV,,,,,,,,5660.5,5482.0,7139.0,8560.0,9991.0,13590.5,14359.0,17602.5,15159.5,15276.0,21454.0,25703.0,25286.0,23039.5,18710.0,18709.0,20563.0,15626.0,12380.0,9170.0,7248.0,3631.0,4641.0,6117.5,8804.5,11711.5,19744.0,38281.5,47322.0,57483.5,91906.0,106085.5,76517.0,72877.0,77830.0,72595.5,65726.0,69830.5,91714.5,104941.0,123842.5,133440.0,167220.5,173060.0
IND,,,,,,,,,,,,,,,,,,,,,,343860.0,402310.0,529950.0,636505.0,733220.0,859799.0,957653.5,978558.0,1117433.5,1252163.0,1461626.0,1703347.0,1973017.5,2144895.5,2337504.5,2805234.5,3398123.5,3335720.0,3482122.0,3837579.0,3885638.0,3916933.0,3783836.0,4039720.5,4135584.0,4283331.5,4636317.5,,,
IRL,1678.0,1864.0,2084.0,2253.0,2112.0,1620.0,1892.0,1910.0,2124.0,115689.0,97277.0,113405.5,114870.5,117988.5,132988.5,132453.0,147308.5,155033.5,171544.0,187806.0,187610.5,178508.5,174989.0,207220.0,236737.5,254097.0,266235.0,267451.0,307473.0,335940.0,358207.0,372292.5,396874.5,438066.5,465933.5,500714.0,554396.0,591088.5,525877.0,414960.0,389502.5,375183.5,369515.0,366111.5,401633.0,441915.5,462029.5,482125.0,504093.5,535748.5,
ISL,,,,,,,,,,,,,,,,,,,,,3948.0,3821.0,3566.0,4065.0,4133.0,4499.0,4550.0,4746.0,4732.0,5042.0,5164.0,4966.0,4771.0,4984.0,5310.0,5636.0,5884.0,6170.0,6581.0,6200.0,6001.0,6105.0,6388.0,6782.0,6674.0,7255.0,7477.0,7761.0,8117.0,7662.0,
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,9234.0,9600.0,11006.0,11992.0,12250.0,685327.25,690285.5,736380.5,782793.75,811433.0,865865.5,893778.5,992173.0,1051522.5,1025971.5,1153544.0,1210113.0,1283885.0,1282506.5,1235121.5,1273249.0,1369153.0,1448360.5,1487012.0,1471874.0,1538324.0
ITA,,28768.5,43852.0,25230.5,43961.5,39675.5,48399.5,62602.5,,,,,,735374.5,856753.5,822535.5,805630.5,840702.5,937426.5,910414.5,965721.5,1005782.0,1114256.0,1228749.0,1349125.5,1534217.0,1867992.5,2523573.0,2961048.0,2900815.5,2985345.5,3191367.5,3637604.5,4000078.0,4014420.0,3922834.0,3961331.5,4284327.0,3989231.5,3343765.5,4363551.0,4360755.5,4738684.0,4786204.0,5095235.5,5137928.0,5714046.0,5409863.25,6432174.0,5380721.5,5517307.125
JPN,,,,,,,,,,,,,,,,,,,,,,,,,170020.0,181597.0,185118.0,188130.0,180203.0,193687.0,7554827.0,7463766.0,7767054.5,8387152.0,9041913.5,9551378.5,10158011.0,10549828.0,10491298.0,9128088.5,10404587.0,10706882.5,10750535.5,10884833.5,10999713.5,10736151.5,10995616.0,11557941.0,11886338.5,11836244.0,
