LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GEO,,15935.5,15730.0,38622.0,105358.0,57632.0,118928.5,117252.0,109958.0,102451.5,100555.0,103352.5,103889.5,99416.5,101993.5,105961.0,111687.5,115830.0,117810.5,117395.5,109850.5,47006.0,10483.0,4776.5,1992.5,402.5,308.0,2133.0,3212.5,1987.0,2384.5,,,7072.5,10154.5,9725.5,17439.5,18145.5,20297.5,15589.0,23297.0,22299.0,28346.5,24455.0,25106.0,22395.5,18242.0,21055.871,28866.535,40109.25,41921.756
GRC,36.5,183.0,98.5,167.5,685.0,927.5,750.0,889.5,746.5,907.0,887.5,2000.5,2086.5,1753.0,2125.0,3043.0,4198.0,4987.5,5119.0,6482.0,6801.0,7295.5,5981.5,4159.5,1764.5,1000.0,1233.0,1362.0,1279.5,1333.5,1259.5,1179.5,1316.5,21003.0,11870.5,21559.5,28358.5,54056.5,44750.0,28655.5,25823.0,32994.5,309.0,255.0,20071.5,25572.5,19804.5,28502.5,32173.5,39235.5,41039.0
HRV,,,,,,,,,,,,,26272.5,25436.0,25144.0,24501.0,26049.0,33002.0,39023.5,43827.0,39928.5,33520.0,31512.0,32838.0,33249.0,29780.0,27898.5,21131.0,18820.5,17574.0,18559.5,19543.0,19640.5,22801.0,23892.5,27405.0,29925.0,46116.5,48854.5,32807.0,35266.5,22414.5,19108.5,20902.0,20656.0,17314.0,47007.0,42075.0,48977.0,54063.5,82301.0
HUN,10633.0,4380.0,9303.0,13510.0,20466.5,24835.0,32669.0,41324.0,47077.0,56635.0,63855.0,78687.5,82266.0,97781.0,103496.0,105288.0,116008.5,116968.5,116428.5,107051.0,87841.0,77328.5,75492.0,59726.0,71506.0,67472.5,116290.0,130521.0,73396.0,69103.5,78636.5,90068.5,104062.5,168881.0,196391.5,236093.0,237594.0,222312.0,226180.5,228409.5,287033.5,262953.0,195064.5,262118.5,226091.0,328454.602,371352.662,363372.944,357071.0325,202711.675,148676.3295
IND,,,,,,,,,,,,,,,,,,,,,,,,,,,704000.0,722000.0,802000.0,903000.0,1045000.0,1232000.0,1383000.0,1602000.0,1728000.0,1931000.0,2105000.0,1234565.0,1169170.0,1227975.0,1299795.0,1321885.0,1313520.0,1456270.0,1579920.0,1484915.0,1574675.0,1790406.0,,,
IRL,,,,,,,,,,,,,81194.0,80181.5,84252.5,86281.5,79703.0,80220.0,82706.0,82708.0,83730.5,92776.0,83309.5,77209.5,74180.5,73671.0,73675.0,61550.0,55097.0,,,,,,36168.5,8668.0,3752.0,1682.0,2481.5,2213.0,6804.5,7224.5,6970.0,7480.0,7755.0,7544.0,8032.5,8606.0,7855.5,4345.0,
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110521.179,110224.755,120387.392,104768.06,71634.4475,92795.099775,101549.889525,110935.0296925,101017.776125,102055.5541655,102597.78183984375,109764.23944,115739.23,131658.51,117846.5,102598.55
ITA,,,,105432.5,129220.0,108209.0,153590.5,172122.0,208810.0,254999.5,273319.0,254738.0,259743.0,265670.0,263427.0,253214.0,257100.5,268637.5,301059.5,346836.0,429495.5,390268.0,413589.0,471357.0,578222.5,660433.5,609452.0,650044.0,672575.5,735913.0,764546.5,704807.0,666210.5,668842.5,719864.5,691175.5,707024.5,697531.5,652368.0,695961.897,617532.9065,832933.5998,860293.075,862522.195,891526.539,675878.019,1836616.5005,1253480.138,1255864.618,1316671.5,1257973.0
JPN,9044.0,10663.0,12813.0,14297.0,13060.0,12298.0,11713.0,10192.0,10495.0,11729.0,10142.0,9446.0,9249.0,9988.0,11727.0,12627.0,13070.0,14338.0,16781.0,18626.0,21182.0,21697.0,21652.0,20909.0,20903.0,22133.0,23708.0,24633.0,22907.0,22640.0,22834.0,23166.0,23254.0,24677.0,24622.0,25164.0,26241.0,26624.0,25182.0,22987.0,23140.0,21846.0,23157.0,24196.0,24183.0,24756.0,24657.0,25199.0,23050.0,23506.0,
KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.5,245.0,347.5,537.4,664.5,876.0
KOR,,,7.0,164.0,193.0,209.0,250.0,527.0,626.0,580.0,407.0,522.0,640.0,755.0,825.0,883.0,1472.0,1978.0,2395.0,2556.0,3283.0,3787.0,3744.0,4055.0,4635.0,5445.0,5822.0,6350.0,6916.0,7648.0,8716.0,7774.0,8154.0,8753.0,8925.0,10034.0,11253.0,11729.0,12443.0,8511.0,9948.0,11678.0,12110.0,11853.0,10386.0,9841.0,8500.0,8466.0,9874.0,9473.0,
LTU,65005.5,68265.0,74097.0,77428.0,76411.0,76020.5,91777.5,87797.5,101903.0,96425.0,94104.0,94250.5,102007.0,115088.0,135234.0,145482.5,153087.5,149603.0,146654.0,140582.5,125770.5,44764.5,17307.0,30446.0,14251.5,9723.0,15072.5,9610.0,8785.0,5530.5,5314.5,6423.0,8039.0,7235.0,15586.5,20249.5,29477.5,48074.5,51391.5,35439.5,39487.0,51669.0,52603.5,52531.0,45816.5,35351.0,34151.0,46873.0,58078.5,73124.5,75533.0
LUX,,,,,,,,,,,,,,,,863.5,864.0,1079.5,898.5,766.5,548.0,1794.5,2817.5,2533.5,1890.5,2039.5,2548.5,77590.0,89919.0,93940.5,93996.0,75907.0,74098.5,66507.5,67684.5,81779.5,110133.0,15126.0,13649.5,17161.5,160500.0,262500.0,367500.0,473500.0,732500.0,942000.0,637246.57305,733731.1292115,821317.2316,819670.939,896032.0
LVA,,,,,,,,,,,349.0,371.0,406.0,544.0,645.0,822.0,783.0,813.0,880.0,883.0,733.0,483.0,16345.0,8641.5,7018.0,5418.0,6864.5,4836.0,3429.0,5266.0,4983.0,5710.0,8320.0,9910.0,11849.5,12708.0,16474.0,27920.0,26634.0,35965.5,49652.5,51118.5,56206.0,49449.0,49118.5,35354.5,28505.3,27702.95,32419.5,33792.8,33132.5
MDA,,,,,,,,,,,,,,,,,,,,,250027.0,81498.0,31403.5,14522.0,4605.5,2980.0,2482.0,2454.5,2831.5,2095.0,2411.5,2431.5,2548.0,3008.0,2913.0,1611.0,1724.0,1669.0,1776.0,977.0,964.5,895.0,737.0,1014.0,969.0,184.5,545.5,415.5,313.35,334.05,462.4
NLD,44598.0,,56186.5,72441.0,73352.0,59706.5,74515.0,60026.0,87099.0,100609.5,108052.0,105931.5,98561.0,96912.5,116840.5,120227.0,111031.0,109805.0,115699.0,107653.0,108692.5,104968.0,102271.5,99577.5,120050.0,,,,,,,,,,319708.0,353314.5,344668.0,489607.0,544357.0,518456.0,465779.5,474751.0,776678.5,656913.5,710428.5,728173.0,808746.5,697100.0,852806.0,809742.0,835309.0
NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277790.0,261672.0,248316.0,207570.0,194765.0,167855.0,163734.5,162924.0,156412.5,165943.5,200854.0505,155864.9705,149380.5
NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.052164077759,17.793964385986,17.294259309769,16.298733472824,16.199108123779,16.102432012558,19.12,20.53,18.421
POL,,,,,1799.0,1551.0,1601.0,1304.0,1679.0,1723.0,1124.0,1073.0,1293.0,1858.0,1714.0,1940.0,2259.0,2431.0,2742.0,2362.0,1454.0,690.0,421.0,690.0,1029.0,870.0,1087.0,1257.0,51939.0,97040.5,99044.0,87884.0,102804.0,118007.0,141997.0,155067.5,206613.5,275726.5,355752.5,214906.5,287012.5,394536.5,517027.5,550207.5,540938.0,554235.5,683020.5,817055.0,892984.0,1034060.0,1186918.5
PRT,,,,,,,,,,,6819.0,7669.5,7741.0,11086.0,11713.5,13000.5,11647.5,11912.0,13427.5,13633.5,11393.5,9719.5,7997.0,11924.5,14586.0,25166.0,24118.5,28642.0,26692.5,24453.5,29737.0,22362.5,24905.0,28320.5,34429.0,26913.0,34315.0,41900.0,42206.0,44983.5,86987.5,94173.5,97389.5,93183.5,132955.5,185889.0,210406.0,223380.598986,211864.5,220373.5,209207.5
ROU,244859.5,288032.0,359182.0,444716.0,462129.0,385456.0,613570.0,682634.0,762076.0,813508.5,851640.5,911588.0,929169.0,993993.0,1025562.0,1033729.5,1098244.5,1239076.0,1198444.5,1185051.5,708362.0,565979.5,215437.5,109244.5,73869.0,49941.5,66834.0,47508.0,46292.5,54366.0,78245.0,55169.0,57232.5,63392.0,94999.0,110781.5,126436.0,96731.5,116764.5,73267.5,99162.5,63424.0,46475.0,31355.5,28106.5,50502.0,48569.5,52174.0,52420.5,51209.5,
RUS,16500.0,,,,,22057.0,,,,,24752.0,,,,,31104.0,,,30896.0,31012.0,30299.0,26518.0,17516.0,12127.0,8193.0,8170.0,7511.0,7195.0,6651.0,8019.0,10694.0,11771.0,12811.0,14691.0,15678.0,17431.0,18271.0,19986.0,20210.0,16596.0,23049.0,26701.0,28072.0,28636.0,30419.0,28587.0,32022.0,37766.0,42431.0,48027.0,56946.1
SVK,,,,,,,,,,,,,,,,,,,,,,,,18601.5,19227.0,74239.0,25743.5,17001.5,8124.0,3599.5,4861.0,13554.0,25768.0,54780.5,60672.0,80052.5,83561.0,132587.0,188477.5,158436.0,226164.0,294698.5,265131.0,298849.0,320740.5,313053.315,311624.9605,307970.5,342564.0,349312.5,53684.5
SVN,,,,,,,,,,,,,,,,14991.5,12696.5,16372.5,14115.0,18341.5,19997.0,19517.5,19169.0,21359.5,29942.5,36491.0,36747.5,27717.5,30583.0,29355.0,30951.0,33210.0,38753.5,41982.5,54299.5,62655.5,75064.5,104095.0,129340.0,112497.5,164272.0,194162.5,199447.0,196787.0,201019.0,231022.5,240698.5,256896.5,270913.5,269237.0,259802.5
SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,128383.5,142535.0,155711.0,148718.0,134593.5,136002.5,134721.5,140710.0,161142.0,171003.0,195061.0,211312.0,270504.5,272153.5,246944.5,228878.0,220101.5,218457.5,208772.0,197175.5,200004.5,222534.87862267,212198.304826185,229968.22114387
TUR,,,,,,,,,,,,,,,,,,,715.0,1056.5,1202.0,1994.0,3840.0,6724.0,4966.5,6798.5,5859.0,7875.5,8044.0,7117.0,8195.0,7618.0,9617.5,10079.5,10781.0,10769.0,97815.5,111688.5,161957.5,222957.5,228984.0,296090.0,331898.0,378918.5,408099.0,361573.0,400145.5,434319.5,502373.5,548313.5,578576.0
UKR,,,,,,,,,,,,,,,,,,,,,,,522040.0,251818.5,122141.5,75175.5,47598.5,31333.5,22173.0,16192.0,18481.0,18644.5,19090.5,22235.5,27305.5,28107.5,47062.5,59226.0,128352.5,55175.0,84616.0,108379.0,132465.5,,,,,,,,
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418822.0,451238.0,461236.0,455662.0,460977.0,457807.0,,,
