LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CZE,,,,,,,,,,,,,,,,,,,,,,,,8548.0,8481.0,8023.0,8111.0,7721.0,7018.0,6957.0,7300.0,7299.0,6597.0,6518.0,6590.0,6667.0,6922.0,6900.0,6803.0,6503.0,6591.0,6714.0,7265.0,7601.0,7797.0,8298.112592,8843.373268,9497.566454,10286.019,10930.618,6665.141
DEU,38483.0,39524.0,40528.0,40756.0,41646.0,38586.0,37175.0,37348.0,37589.0,39431.0,40499.0,41795.0,40030.0,38755.0,39075.0,42707.0,41397.0,39200.0,41000.0,41100.0,43600.0,55300.0,56300.0,63361.0,65169.0,70977.0,71730.0,72403.0,72666.0,73796.0,75404.0,75754.0,71366.0,71293.0,72879.0,76824.0,78995.0,79107.0,82539.0,82253.0,83886.0,85414.0,88796.0,89615.0,90976.0,91603.0,94197.0,95530.0,98170.0,102028.0,
DNK,3354.0,3614.0,3465.0,2918.0,3059.0,3172.0,3200.0,3227.0,3398.0,3749.0,4314.0,4518.0,4531.0,4660.0,4617.0,4716.0,4876.0,4860.0,4850.0,4726.0,4851.0,4711.0,4772.0,4737.0,4847.0,4684.0,4621.0,4978.0,5163.0,5113.0,5537.0,5721.0,5754.0,5893.0,6074.0,6136.0,6274.0,6353.0,6475.0,6367.0,6577.0,6890.0,7020.0,7076.0,6808.0,6808.0,6653.0,6623.0,6560.0,,
ESP,14992.0,15118.0,16034.0,17250.0,17673.0,17643.0,18183.0,18643.0,18092.0,17151.0,14825.0,15511.0,15923.0,16237.0,16664.0,17231.0,16866.0,16601.0,16959.0,15999.0,16733.0,16357.0,17422.0,16486.0,16139.0,16594.0,16800.0,17878.0,18869.0,19655.0,20144.0,20828.0,21211.0,21127.0,20386.0,21624.0,22105.0,21857.0,23969.0,23137.0,22456.0,22795.0,22476.0,23788.0,25072.0,26142.0,26670.0,27487.0,28434.0,28835.0,
EST,1254.0,1305.0,1370.0,1375.0,1381.0,1416.0,1441.0,1486.0,1544.0,1557.0,1582.0,1593.0,1580.0,1649.0,1672.0,1649.0,1721.0,1764.0,1722.0,1562.0,1510.0,1273.0,950.0,722.0,537.0,421.0,309.0,262.0,236.0,238.0,263.0,182.0,178.0,181.0,192.0,247.0,256.0,272.0,274.0,249.0,248.0,241.0,236.0,225.0,282.0,289.0,316.0,367.0,417.0,392.0,263.0
FIN,2156.0,2349.0,2594.0,2773.0,3047.0,3135.0,2985.0,2977.0,2983.0,3020.0,3216.0,3274.0,3326.0,3339.0,3276.0,3224.0,2676.0,3062.0,3147.0,3208.0,3331.0,3229.0,3057.0,3007.0,3037.0,3184.0,3254.0,3376.0,3377.0,3415.0,3405.0,3282.0,3318.0,3338.0,3352.0,3478.0,3540.0,3778.0,4052.0,3876.0,3959.0,3882.0,4035.0,4053.0,3874.0,4113.0,3868.0,4271.0,4534.0,4924.0,2820.0
FRA,40980.0,41140.0,43230.0,44700.0,47310.0,50700.0,51080.0,51990.0,53660.0,53740.0,53710.0,55540.0,56700.0,58440.0,60230.0,61910.0,59620.0,59670.0,62930.0,64030.0,75112.0,73581.0,74413.0,69826.0,70418.0,64444.0,69183.0,71016.0,75175.0,77111.0,82253.0,84180.0,86186.0,84151.0,88567.0,90859.0,94590.0,96709.0,102721.0,101821.0,102167.0,105596.0,105956.0,105215.0,104589.0,104849.0,104207.0,110568.0,107935.0,112478.0,64889.0
GBR,36000.0,35000.0,34000.0,35000.0,36000.0,36000.0,33000.0,34000.0,35000.0,35000.0,35000.0,34000.0,31000.0,34000.0,35000.0,36000.0,37400.0,39000.0,41000.0,40000.0,40100.0,39100.0,38300.0,37000.0,35700.0,37200.0,39200.0,42200.0,44100.0,46800.0,46506.213654,47471.882913,47992.683913,49224.35476,50018.278,51361.639,53900.416,57405.335,60221.458,60335.555,63047.61,66099.044,69014.878,70703.517,73714.966,76060.135,78228.912,79496.193,80980.168,82550.430261516,24188.466688403
GEO,2107.0,2278.0,2380.0,2463.0,2515.0,2579.0,2728.0,2788.0,2837.0,2847.0,2833.0,2841.0,2864.0,2966.0,2914.0,2950.0,2932.0,2878.0,2701.0,2267.0,1969.0,1718.0,1031.0,1003.0,1165.0,371.0,380.0,294.0,397.0,349.0,453.0,401.0,401.0,396.0,614.0,713.0,808.0,773.0,674.0,626.0,654.0,641.0,625.0,585.0,550.0,464.6,544.5,596.7,633.6,676.644,246.938
GRC,1531.0,1635.0,1563.0,1615.0,1594.0,1553.0,1583.0,1623.0,1568.0,1531.0,1464.0,1515.0,1501.0,1629.0,1652.0,1732.0,1950.0,1973.0,1963.0,2011.0,1978.0,1995.0,2046.0,1726.0,1599.0,1568.0,1751.0,1812.0,1551.0,1882.0,1628.0,1797.0,1836.0,1574.0,1669.0,1854.0,1811.0,1930.0,1657.0,1414.0,1337.0,958.0,832.0,755.0,1072.0,1263.0,1192.0,1109.0,1104.0,1252.0,640.0
HRV,3732.0,3628.0,3731.0,3609.0,3528.0,3505.0,3370.0,3533.0,3574.0,3553.0,3619.0,3682.0,3868.0,3896.0,4003.0,4063.0,4086.0,3917.0,3833.0,3665.0,3429.0,1503.0,981.0,1094.0,1182.0,1139.0,1205.0,1158.0,1092.0,1137.0,1252.0,1241.0,1195.0,1163.0,1213.0,1266.0,1362.0,1611.0,1810.0,1835.0,1742.0,1486.0,1104.0,948.0,927.0,951.0,836.0,745.0,756.0,734.0,449.0
HUN,15168.0,14728.0,14982.0,14904.0,15359.0,14761.0,14541.0,14387.0,13944.0,13647.0,13714.0,13545.0,13071.0,11105.0,11274.0,11209.0,11224.0,11324.0,11512.0,11871.0,11403.0,9861.0,9183.0,8772.0,8568.0,8336.0,8582.0,8672.0,8884.0,9514.0,9693.0,10005.0,10531.0,10286.0,10544.0,9880.0,9584.0,8752.0,8293.0,8073.0,7692.0,7806.0,7806.0,7843.0,7738.0,7609.161,7653.455,7730.982,7769.56,7751.606,4854.225
